Q2,x,y,purity,stability,sigma_red,sigma_red_pdf_unc,sigma_stat,sigma_p2p,sigma_norm
1.2589254117941673,0.0019952623149688,0.7694601761953572,0.9093361900546209,0.6097278171082661,0.2135040261689061,0.0122511459100754,0.017937972385583294,4.2,1.5
1.2589254117941673,0.0031622776601683,0.4854965494554844,0.8210909555441958,0.7318531169940172,0.2061067059818325,0.0092416053834615,0.012245916643954496,4.2,1.5
1.2589254117941673,0.0050118723362727,0.3063276135987292,0.7183794898718071,0.7589553963485057,0.2035830408049014,0.0088963655889524,0.010134961216452024,4.2,1.5
1.2589254117941673,0.0079432823472428,0.193279657617209,0.674413305992249,0.7044935262757008,0.2038156750160671,0.0077780830037335,0.0092514308315564,4.2,1.5
1.2589254117941673,0.0125892541179416,0.1219512195121951,0.5604078054482349,0.5891790407919394,0.205016970406935,0.0077092277095601,0.008730988121421965,4.2,1.5
1.2589254117941673,0.0199526231496888,0.0769460176195357,0.4315660562482917,0.4676392984634504,0.2071860066618783,0.0072516159667321,0.008201074870804091,4.2,1.5
1.2589254117941673,0.0316227766016838,0.0485496549455484,0.3021092982239606,0.3349206349206498,0.210327732035215,0.0065149319322505,0.007817919223519303,4.2,1.5
1.2589254117941673,0.0501187233627272,0.0306327613598729,0.2316683191130048,0.2287329380945955,0.2123125349855486,0.0051734375688143,0.008097609582368175,4.2,1.5
1.2589254117941673,0.0794328234724281,0.0193279657617208,0.2090830540178599,0.1451166468960161,0.2131038214744327,0.0066639173881231,0.009443053737987008,4.2,1.5
1.2589254117941673,0.1258925411794167,0.0121951219512195,0.1952804689160747,0.0874710923683875,0.2184379867125404,0.0046085045137249,0.011941822763966145,4.2,1.5
1.2589254117941673,0.199526231496888,0.0076946017619535,0.1964714324598425,0.056576884708565,0.2194244169433693,0.004008210488916,0.01524407776194265,4.2,1.5
1.99526231496888,0.0031622776601683,0.7694601761953576,0.9208109736328712,0.6429075005398208,0.2952161177556228,0.0144904454947228,0.0206253347126677,4.2,1.5
1.99526231496888,0.0050118723362727,0.4854965494554842,0.8299595922871009,0.6965627175125102,0.3044010360478791,0.0114839902092644,0.01486787580467511,4.2,1.5
1.99526231496888,0.0079432823472428,0.3063276135987293,0.7562532569046319,0.7077110637000856,0.3069025125965681,0.0095213704258055,0.012366568982551316,4.2,1.5
1.99526231496888,0.0125892541179416,0.1932796576172089,0.6979520373514373,0.697692919649955,0.3068479678344397,0.0087884174126398,0.011160896190610413,4.2,1.5
1.99526231496888,0.0199526231496888,0.121951219512195,0.641624221844929,0.6434145187987649,0.3077361963298333,0.0078120785665493,0.010522593840666295,4.2,1.5
1.99526231496888,0.0316227766016838,0.0769460176195357,0.5218667971704335,0.5267175572519014,0.3096921324170137,0.0073077072427281,0.010220273842690236,4.2,1.5
1.99526231496888,0.0501187233627272,0.0485496549455484,0.3875256051168342,0.3931297709923579,0.3104720380316612,0.0058733095811576,0.009906997188160894,4.2,1.5
1.99526231496888,0.0794328234724281,0.0306327613598729,0.3007840663301985,0.271065989847706,0.3102878549394455,0.0073881566776098,0.01028569124095447,4.2,1.5
1.99526231496888,0.1258925411794167,0.0193279657617208,0.2676752982251814,0.179983525535409,0.3148154286384602,0.005624279099744,0.01199209704594399,4.2,1.5
1.99526231496888,0.199526231496888,0.0121951219512195,0.2708694813957832,0.122253643680653,0.3141046882421957,0.0047887917920214,0.01504383576117108,4.2,1.5
1.99526231496888,0.3162277660168381,0.0076946017619535,0.2350019952999554,0.0677229746997149,0.2677704888859001,0.0044451317943961,0.02040607793457214,4.2,1.5
3.1622776601683795,0.0050118723362727,0.7694601761953573,0.9252107374113726,0.6938671212234783,0.3500198828145914,0.0113441925727259,0.023639808343988544,4.2,1.5
3.1622776601683795,0.0079432823472428,0.4854965494554845,0.8727899619948546,0.6850715746421163,0.373231437261043,0.0086311189755052,0.01748836364790862,4.2,1.5
3.1622776601683795,0.0125892541179416,0.3063276135987292,0.8076760265274361,0.6131105398457475,0.3742169594002017,0.007817928332039,0.016279665695849176,4.2,1.5
3.1622776601683795,0.0199526231496888,0.1932796576172088,0.7129395541254787,0.5897338403041723,0.3709222886316562,0.0064613164500527,0.014691534498964301,4.2,1.5
3.1622776601683795,0.0316227766016838,0.121951219512195,0.6191466150711044,0.5267950963222309,0.3668000870937036,0.0063348946002902,0.01390335258338996,4.2,1.5
3.1622776601683795,0.0501187233627272,0.0769460176195357,0.5614035087719181,0.4653528289891815,0.3613704429986216,0.0051442740173069,0.013418801422529717,4.2,1.5
3.1622776601683795,0.0794328234724281,0.0485496549455484,0.423791680139981,0.3612191958495325,0.3558039342156873,0.0055699593041149,0.013365349529594383,4.2,1.5
3.1622776601683795,0.1258925411794167,0.0306327613598729,0.3610823465850061,0.2583762886597781,0.3528724220077225,0.0050146450194821,0.014539941093172346,4.2,1.5
3.1622776601683795,0.199526231496888,0.0193279657617208,0.3143808426174798,0.1727656579873229,0.3436419840281928,0.004214157482576,0.017339397143574208,4.2,1.5
3.1622776601683795,0.3162277660168381,0.0121951219512195,0.2947368421052613,0.1096003296250462,0.2872636463764465,0.0047400161902768,0.022809885109876357,4.2,1.5
3.1622776601683795,0.5011872336272725,0.0076946017619535,0.2318295739348385,0.0757162346521123,0.1676505832607133,0.0033235727085185,0.03131624140558334,4.2,1.5
5.011872336272724,0.0079432823472428,0.7694601761953579,0.9635414616582216,0.6800931058301861,0.3977272437139464,0.0084046463904485,0.027915994448976668,4.2,1.5
