Q2,x,y,gen,rec,gen_rec,purity,stability
1.2589254117941673,0.00012589254117941674,0.505050505050505,74965867.32793671,13283416.499748938,3503224.94998924,0.26372921078364536,0.046730933354835365
1.2589254117941673,0.00019952623149688788,0.3186653254950473,84451529.61964746,17060365.3875206,4659629.302412873,0.2731259968102044,0.05517519130084319
1.2589254117941673,0.00031622776601683794,0.20106422755227135,100573166.76814295,18485720.35967976,4761664.9805678995,0.2575861198762821,0.047345282380788875
1.2589254117941673,0.0005011872336272725,0.12686295108634238,110470627.54918133,19160599.76287817,4115439.0189193985,0.21478654477678033,0.037253694581278744
1.2589254117941673,0.0007943282347242813,0.08004511073035929,119653838.58313446,20614608.176587258,4625617.409694531,0.22438541494802744,0.03865832859579087
1.2589254117941673,0.0012589254117941675,0.0505050505050505,122578861.35691212,18966731.974383626,3775320.091735977,0.19904958307181783,0.030799112097667482
1.2589254117941673,0.0019952623149688807,0.031866532549504695,130299561.00397642,20582296.87850483,4625617.409694531,0.22473766834668996,0.03549986948577186
1.2589254117941673,0.0031622776601683794,0.020106422755227137,133224583.77775408,22585597.35961513,4013403.340764372,0.17769746254047109,0.030125095736531268
1.2589254117941673,0.005011872336272725,0.012686295108634239,136863856.29861698,22876399.042356946,4047415.2334827143,0.1769253642581027,0.029572564612324267
1.2589254117941673,0.007943282347242814,0.008004511073035929,138122296.32919574,28013895.437462386,5169807.693188005,0.18454440599769398,0.037429204629399374
1.2589254117941673,0.012589254117941675,0.005050505050505049,143122044.55879244,31148091.351457525,6156152.582019927,0.19764140642061714,0.04301330798478825
1.9952623149688797,0.00012589254117941674,0.8004511073035926,31555500.577646717,5082423.223983962,850297.3179585536,0.16730155685303802,0.026946088713322047
1.9952623149688797,0.00019952623149688788,0.5050505050505053,50575684.47217592,16608007.214366663,3537236.8427075823,0.21298382142125488,0.06993947545393249
1.9952623149688797,0.00031622776601683794,0.3186653254950471,71935153.09929653,25590548.081280574,6428247.723766664,0.2511961722488043,0.08936170212765597
1.9952623149688797,0.0005011872336272725,0.20106422755227124,88226849.71138375,29891423.71411509,8707044.535895595,0.29128905398320065,0.09868928296067384
1.9952623149688797,0.0007943282347242813,0.12686295108634246,91389955.73418982,31988185.101600565,8468961.286867194,0.26475279106858235,0.09266840342388827
1.9952623149688797,0.0012589254117941675,0.08004511073035925,98260358.0632955,30921912.264880557,7448604.505316928,0.24088434251773788,0.07580477673935228
1.9952623149688797,0.0019952623149688807,0.05050505050505048,98328381.84873219,33894551.6884638,7618663.968908639,0.2247754753900962,0.07748184019370061
1.9952623149688797,0.0031622776601683794,0.03186653254950471,102375797.08221523,35607050.48683246,8230878.037838797,0.23115865889769746,0.08039867109634127
1.9952623149688797,0.005011872336272725,0.020106422755227126,102273761.4040602,36576389.42930529,7652675.861626981,0.20922447461409618,0.07482540738276958
1.9952623149688797,0.007943282347242814,0.012686295108634248,103464177.64920227,41940064.910988286,9387282.390262457,0.22382612926769674,0.09072978303747078
1.9952623149688797,0.012589254117941675,0.008004511073035925,102817951.68755372,48240768.037061684,11802126.773264814,0.24465047414248578,0.11478663579225418
1.9952623149688797,0.01995262314968881,0.0050505050505050475,104144415.50356917,47820721.16199013,11087877.02617961,0.23186344238975445,0.10646636185499177
3.1622776601683795,0.00019952623149688788,0.800451107303593,20597701.941747654,4765696.4465025235,612214.0689301586,0.12846266559412398,0.029722445283535067
3.1622776601683795,0.00031622776601683794,0.5050505050505051,44861686.49549397,15415962.173189048,3503224.94998924,0.22724659743145567,0.07808946171341806
3.1622776601683795,0.0005011872336272725,0.31866532549504695,58296384.11924022,24010767.463113897,5986093.118428216,0.24930869567681427,0.10268378063010186
3.1622776601683795,0.0007943282347242813,0.20106422755227138,74656104.51676412,30921912.264880557,10781769.991714522,0.3486773359731661,0.14441913439635018
3.1622776601683795,0.0012589254117941675,0.1268629510863424,74452033.16045405,37287237.987118706,11802126.773264814,0.31651920094864605,0.1585198720877059
3.1622776601683795,0.0019952623149688807,0.08004511073035923,77615139.18326013,41358461.54550459,11972186.23685653,0.2894736842105248,0.15425065731813653
3.1622776601683795,0.0031622776601683794,0.05050505050505051,77138972.6852033,45623552.89238504,12652424.09122339,0.2773222006858477,0.16402116402115843
3.1622776601683795,0.005011872336272725,0.0318665325495047,75948556.44006123,46980627.41184701,12142245.700448245,0.25845218272641374,0.15987460815046475
3.1622776601683795,0.007943282347242814,0.02010642275522714,75234306.69297598,50599492.79707891,13502721.409181967,0.2668548766552355,0.17947558770343008
3.1622776601683795,0.012589254117941675,0.01268629510863424,69928451.42891417,53378264.43216769,13876852.229083741,0.25997196380781995,0.19844357976653132
3.1622776601683795,0.01995262314968881,0.008004511073035922,73159581.23715694,59646656.26015866,15747506.32859261,0.2640132291726008,0.21524872152486604
3.1622776601683795,0.03162277660168381,0.005050505050505048,74213949.91142564,60583683.90454906,15203316.04509912,0.25094736842104687,0.2048579285059518
5.011872336272724,0.00031622776601683794,0.8004511073035928,19371484.11100036,4497597.1506454805,782279.4813796736,0.17393275902164856,0.040383043286572225
5.011872336272724,0.0005011872336272725,0.5050505050505049,36698832.24309119,12431289.606354669,3333165.4863975295,0.26812708833471877,0.09082483781278956
5.011872336272724,0.0007943282347242813,0.3186653254950472,47480602.23480653,20463470.649791457,5986093.118428216,0.29252579979580445,0.12607449856733283
5.011872336272724,0.0012589254117941675,0.20106422755227132,53262623.99692517,26947622.60074239,9625365.639290858,0.35718793386343795,0.1807151979565732
